0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:10:48 +0900] "GET /board/get?pageNum=1&amount=10&type&keyword&bno=9 HTTP/1.1" 200 5485
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:10:48 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:10:49 +0900] "GET /security/avatar/sm/haye HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:10:49 +0900] "GET /resources/js/rest.js HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:10:49 +0900] "GET /resources/js/comment.js HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:46 +0900] "GET /board/list?pageNum=1&amount=10&type=&keyword= HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:46 +0900] "GET /security/avatar/sm/haye HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:46 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:48 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=1 HTTP/1.1" 200 5494
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:48 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:48 +0900] "GET /security/avatar/sm/haye HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:48 +0900] "GET /resources/js/rest.js HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:48 +0900] "GET /resources/js/comment.js HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:50 +0900] "GET /board/list?pageNum=1&amount=10&type=&keyword= HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:50 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:11:50 +0900] "GET /security/avatar/sm/haye HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:15:37 +0900] "GET /board/list?pageNum=1&amount=10&type=&keyword= HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:15:37 +0900] "GET /security/avatar/sm/haye HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:15:37 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:15:38 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=9 HTTP/1.1" 200 5485
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:15:38 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:15:38 +0900] "GET /security/avatar/sm/haye HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:15:38 +0900] "GET /resources/js/rest.js HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:15:38 +0900] "GET /resources/js/comment.js HTTP/1.1" 200 4793
